"","Cell.line","MSE", "pearson_r","Run.time","Number.of.trained.patterns"
1,E003,2.97691080117963,0.787829353822255,16.7415620207787,14
2,E004,3.92943679440824,0.718727403375705,32.9773780028025,25
3,E005,3.71496004966652,0.743676508842393,27.7452833453814,22
4,E006,4.11862365810646,0.754689759859946,32.6590350230535,34
5,E007,3.71847760877636,0.750735464222645,35.3835027694702,26
6,E011,2.82383963730998,0.795546027689133,15.7434582273165,12
7,E012,2.519704235542,0.823339432620577,10.9718588590622,10
8,E013,2.0420303479504,0.858919495268484,6.63486797412237,5
9,E016,2.51700984318986,0.818519687335654,10.6585691769918,9
10,E024,3.08482489144968,0.772617751475871,16.4189570705096,14
11,E027,2.72624945554637,0.818262299969387,15.715874783198,10
12,E028,2.83080712657637,0.81409717741799,17.9761913935343,11
13,E037,2.94806244236016,0.817302594803915,16.8327579418818,15
14,E038,3.19847905698862,0.803251373279382,17.5891498446465,14
15,E047,2.87401619375229,0.821229856001646,16.0377010623614,13
16,E050,2.73845743228917,0.829714947828905,11.5066927631696,8
17,E053,2.29721519367338,0.857359336248265,10.3271851579348,7
18,E054,2.06103759883014,0.866197562274713,8.48714261849721,8
19,E055,2.63969276944962,0.845204837365691,16.4374033292135,12
20,E056,3.3528181614024,0.808766029929827,19.0723631024361,16
21,E057,2.68725320520655,0.851042322239589,15.1199425339699,11
22,E058,2.57704512115491,0.85432692087118,7.70514898697535,8
23,E059,3.50754195630282,0.795786986071698,28.1746034860611,21
24,E061,2.83792833368461,0.846562058575716,10.9900385975838,9
25,E062,3.2963522568939,0.784418822364562,19.9350005706151,18
26,E065,4.38825628115223,0.688811200683816,45.1431178410848,41
27,E066,3.27342726036827,0.776204757796096,17.4441793402036,15
28,E070,2.6290814471346,0.804439521105861,11.6405116756757,8
29,E071,3.10506944030943,0.726636150736129,17.1954699238141,13
30,E079,3.0397929771184,0.742059890694236,18.9317270080249,14
31,E082,2.64206150593346,0.801244656768413,11.8548092285792,10
32,E084,2.0923349846107,0.801345374153309,8.73380353450775,4
33,E085,2.43150552135366,0.789908917299451,10.7187558611234,6
34,E087,3.00702483999333,0.762008500450813,12.575581073761,12
35,E094,4.11222041489334,0.683099482379053,32.4924806237221,34
36,E095,2.8329417111617,0.806091037265734,14.7547673463821,13
37,E096,3.56227304226973,0.701538835314442,21.5373688101769,17
38,E097,2.78294521774529,0.792337051543717,13.0725131551425,11
39,E098,3.35904992409861,0.699606204570462,18.3485824783643,16
40,E100,2.79596627063573,0.816464378308075,13.9823018987974,11
41,E104,2.80252700193878,0.795291552641935,17.6011547525724,13
42,E105,2.98382257514179,0.795082770509889,17.0675940950712,15
43,E106,2.98477990928682,0.743201072302559,18.3795315504074,14
44,E109,2.84996981078914,0.762394577819659,17.6228462855021,13
45,E112,2.86136974252768,0.685714278602391,18.3751612385114,13
46,E113,3.59704996582881,0.715608942208507,24.4475074251493,23
47,E114,2.76913761723693,0.833600153051233,14.5107843240102,9
48,E116,3.13522636539309,0.831810482969297,19.8235988497734,15
49,E117,2.93201700855742,0.849347073634469,14.6069283803304,11
50,E118,2.56906752660209,0.861581252112524,9.90645584265391,8
51,E119,2.95460339716747,0.834400064739305,10.9590747515361,11
52,E120,2.47450646757921,0.854309231519934,12.2085840463638,8
53,E122,2.78834592394747,0.847171140304048,13.9424555182457,13
54,E123,2.7888709205452,0.858287350657916,12.2471552809079,11
55,E127,2.69673193364798,0.846405416120499,12.27023392121,7
56,E128,2.61779156397272,0.849382937171918,12.3029341300329,9
