"cell_line","AUC","F1","Sensitivity","Specificity","Accuracy"
E003,0.920221661795876,0.733118971061093,0.746073298429319,0.899132816065723,0.859560067681895
E004,0.876139914606873,0.687109596819989,0.677491601343785,0.872453928225024,0.813536379018613
E005,0.904029944895592,0.692283464566929,0.686875,0.889559164733179,0.834686971235195
E006,0.911406799282079,0.757192793761764,0.774477447744774,0.879521016617791,0.847208121827411
E007,0.86176738380056,0.63875,0.632425742574257,0.869119701909641,0.804399323181049
E011,0.925643871149391,0.741023196695265,0.766600920447074,0.895216400911162,0.862121468448655
E012,0.943630905306508,0.784766301211771,0.797186400937866,0.904852521408183,0.873773265651438
E013,0.948743670306876,0.777515987882868,0.780405405405405,0.924153498871332,0.888155668358714
E016,0.946022367625201,0.771428571428571,0.754764930114358,0.926660516605166,0.88087986463621
E024,0.913458996082129,0.696887686062246,0.696887686062246,0.898916967509025,0.84839255499154
E027,0.932540643523937,0.752411575562701,0.750962772785623,0.912224264705882,0.869712351945855
E028,0.94007682104565,0.785735690740186,0.789759036144578,0.913902611150318,0.879039079681949
E037,0.908818548872627,0.676569885212694,0.676569885212694,0.891873589164786,0.837929284385045
E038,0.901131351579965,0.706579727326615,0.735802469135802,0.869028198555115,0.832515648790391
E047,0.918041403430613,0.745387453874539,0.774174528301887,0.878025628856194,0.848223350253807
E050,0.933761154385651,0.751288659793814,0.762091503267974,0.906849315068493,0.869373942470389
E053,0.950643145028081,0.82804846609951,0.856533333333333,0.901387512388503,0.88715953307393
E054,0.950792918643472,0.784509681449094,0.797460317460317,0.914437269372694,0.883268482490272
E055,0.95168996633054,0.812095032397408,0.812095032397408,0.914243469689502,0.882233502538071
E056,0.945508723729024,0.828694817658349,0.827900287631831,0.907165271966527,0.879187817258883
E057,0.944659225837093,0.797198879551821,0.837058823529412,0.893849441937782,0.877516494670952
E058,0.94501959817988,0.808264462809917,0.832104367555303,0.903567984570878,0.882253425816275
E059,0.929337182725851,0.779706275033378,0.79520697167756,0.889815950920245,0.860429707325326
E061,0.953092223539762,0.838344011828487,0.845847836897066,0.911282051282051,0.889020470309592
E062,0.927798563235922,0.724713584288052,0.747972972972973,0.894356659142212,0.857698815566836
E065,0.873921013237841,0.643455834945197,0.635668789808917,0.876958525345622,0.812859560067682
E066,0.933217764557913,0.767539605560944,0.745603015075377,0.927297985644825,0.878362375232617
E070,0.939420794927423,0.764932562620424,0.783552631578947,0.908221361876566,0.876163085772289
E071,0.915097554472818,0.711360634081902,0.71042216358839,0.901001365498407,0.852115059221658
E079,0.902204555181333,0.715494601692442,0.695800227014756,0.894165863066538,0.83502538071066
E082,0.938462705819865,0.766656141458794,0.799736495388669,0.900978829956749,0.874978852985958
E084,0.933118609765746,0.751238850346878,0.74901185770751,0.915319826997496,0.872610387413297
E085,0.930228642228008,0.739219712525667,0.730717185385656,0.917870036101083,0.871065989847716
E087,0.927708989947876,0.749088498508452,0.754843019372078,0.911644766651563,0.871933682963965
E094,0.878737155508695,0.650103519668737,0.620962425840475,0.900091033227128,0.8284554220944
E095,0.93672747907701,0.791632259840352,0.777717685235262,0.914820285573609,0.871933682963965
E096,0.898842698323913,0.670941613229835,0.672530446549391,0.889214801444043,0.83502538071066
E097,0.930939927570989,0.753057658707047,0.772401433691756,0.889780505074345,0.856538656741668
E098,0.903326876977066,0.70987098709871,0.701660735468565,0.890151515151515,0.836379018612521
E100,0.929183069249469,0.763982102908277,0.776136363636364,0.891592387376536,0.857215361191
E104,0.929173302296498,0.723972602739726,0.715155615696888,0.913131768953069,0.863620981387479
E105,0.922852775804708,0.719918422841604,0.716024340770791,0.90884476534296,0.860598883437659
E106,0.931781204208914,0.751550767221678,0.737347853939782,0.919310344827586,0.871256978514634
E109,0.911198326181401,0.693739424703892,0.685160427807487,0.901676483914816,0.846869712351946
E112,0.895681028946745,0.674783723165652,0.658948685857322,0.89102712728959,0.828286245982067
E113,0.884402481435555,0.639069449196031,0.605706874189364,0.897664835164835,0.821489001692047
E114,0.928450075179045,0.74409820585458,0.742462311557789,0.90666975451598,0.86243654822335
E116,0.937722698474542,0.844202138813168,0.865434221840069,0.880022321428571,0.874280879864636
E117,0.954269477221763,0.85341726618705,0.875461254612546,0.897915553180118,0.889678510998308
E118,0.954234489178727,0.855899198167239,0.870862470862471,0.906532129580457,0.893588225342582
E119,0.950478112996916,0.827604032049625,0.844409282700422,0.907324364723468,0.887140439932318
E120,0.959260372932325,0.86032196969697,0.854656632173095,0.925739957716702,0.900169204737733
E122,0.951380677240789,0.832251622566151,0.858393408856849,0.899949596774194,0.886294416243655
E123,0.953915694779193,0.864740368509213,0.886266094420601,0.893605138229545,0.890712231432922
E127,0.937163075240739,0.759920634920635,0.775303643724696,0.911246612466125,0.877157360406091
E128,0.949591405048221,0.829090909090909,0.855305466237942,0.904055390702275,0.888663282571912
